customer_id,first_name,last_name,email,membership_level
42,Steven,Roberts,StevenRoberts@gmail.com,Basic
43,Caroline,Williams,CarolineWilliams@yahoo,Platinum
44,Meredith,Taylor,MeredithTaylor@hotmail,Basic
45,Jennifer,Fisher,JenniferFisher@hotmail,Basic
46,Maureen,Ruiz,MaureenRuiz@gmail.com,Gold
47,Jeffrey,Dean,JeffreyDean@gmail.com,Platinum
48,Kathleen,Carr,KathleenCarr@gmail.com,Basic
49,Jonathan,Romero,JonathanRomero@hotmail,Platinum
50,Cynthia,Thomas,CynthiaThomas@hotmail,Platinum
51,Justin,Edwards,JustinEdwards@gmail.com,Gold
52,Ryan,Holmes,RyanHolmes@yahoo,Gold
53,Margaret,Diaz,MargaretDiaz@gmail.com,Platinum
54,Frank,Perez,FrankPerez@gmail.com,Gold
55,Tracy,Spence,TracySpence@hotmail,Basic
56,Curtis,Collier,CurtisCollier@yahoo,Gold
57,Sally,Perkins,SallyPerkins@hotmail,Gold
58,Lorraine,Martin,LorraineMartin@yahoo,Platinum
59,Ashley,Thomas,AshleyThomas@hotmail,Gold
60,Jonathan,Richards,JonathanRichards@yahoo,Basic
61,Margaret,Weber,MargaretWeber@yahoo,Basic
62,Ricky,Chan,RickyChan@yahoo,Platinum
63,Aaron,Holmes,AaronHolmes@yahoo,Platinum
64,Jeremy,Chang,JeremyChang@yahoo,Gold
65,Brittany,Martin,BrittanyMartin@gmail.com,Platinum
66,William,Myers,WilliamMyers@hotmail,Basic
67,Kayla,Carter,KaylaCarter@gmail.com,Basic
68,Kevin,Mullins,KevinMullins@hotmail,Platinum
69,Brian,Johnson,BrianJohnson@hotmail,Basic
70,Jessica,Gutierrez,JessicaGutierrez@yahoo,Basic
71,Kendra,Turner,KendraTurner@yahoo,Platinum
72,Micheal,Johnson,MichealJohnson@yahoo,Basic
73,Heidi,Nelson,HeidiNelson@gmail.com,Gold
74,Michele,Hendricks,MicheleHendricks@yahoo,Basic
75,Jacob,Trevino,JacobTrevino@yahoo,Platinum
76,Stacey,Craig,StaceyCraig@gmail.com,Platinum
77,Luis,Sanchez,LuisSanchez@hotmail,Platinum
78,Joanna,Oliver,JoannaOliver@hotmail,Gold
79,Deborah,Mcdowell,DeborahMcdowell@yahoo,Platinum
80,Wendy,Padilla,WendyPadilla@yahoo,Platinum
81,Sara,Gutierrez,SaraGutierrez@hotmail,Basic
82,Sophia,Gill,SophiaGill@hotmail,Gold
83,Roger,Herrera,RogerHerrera@gmail.com,Platinum
84,Melissa,Edwards,MelissaEdwards@gmail.com,Gold
85,Madison,Perry,MadisonPerry@yahoo,Gold
86,Christopher,Fuller,ChristopherFuller@gmail.com,Platinum
87,Brianna,Holt,BriannaHolt@yahoo,Platinum
88,Patty,Cobb,PattyCobb@hotmail,Platinum
89,Stephen,Hall,StephenHall@gmail.com,Basic
90,Carrie,Morgan,CarrieMorgan@hotmail,Gold
91,Katrina,Scott,KatrinaScott@yahoo,Gold
92,Eric,Wood,EricWood@yahoo,Platinum
93,Garrett,Harrell,GarrettHarrell@hotmail,Basic
94,Sheila,Long,SheilaLong@hotmail,Gold
95,Timothy,Jones,TimothyJones@hotmail,Gold
96,Allen,Lewis,AllenLewis@yahoo,Platinum
97,Robert,Mcfarland,RobertMcfarland@hotmail,Platinum
98,Amy,Scott,AmyScott@hotmail,Platinum
99,Michael,Howell,MichaelHowell@hotmail,Platinum
100,Angela,Peck,AngelaPeck@hotmail,Basic
